paper_id,题名,简称,venue全称,venue类型,发表年份,DOI,CCF等级,CCF目录,CCF备注,层次,场景,主题标签,论文自身输出对象,与本文关系（检索线索）,题名说明,全部作者,官方链接,开放全文链接,代码链接,身份核验来源,身份核验状态,核验路径,内容阅读深度,最后核验日期,发现来源,候选ID,访问状态,摘要
RW0011,AIOpsLab in Action: An Open Platform for AIOps Research,,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,会议论文,2025,10.1145/3696630.3728619,B,CCF 第七版（2026-03-31）,,L1,数据中心/生产网络,LLM/知识辅助网络诊断,,Open platform and benchmark harness for building and evaluating autonomous AIOps agents; reproducibility substrate for AIOps claims.,,Minghua Ma; Jackson Clark; Shenglin Zhang,https://doi.org/10.1145/3696630.3728619,,,Crossref DOI 记录,已核实,doi,仅元数据（本轮未取得摘要，未阅读正文）,2026-09-15,agent:llmnet,C0155,DOI 可解析（Crossref 返回该记录）；全文可读性未逐篇验证,
RW0012,Between Promise and Pain: The Reality of Automating Failure Analysis in Microservices with LLMs,,Proceedings of the 16th ACM SIGOPS Asia-Pacific Workshop on Systems,会议论文,2025,10.1145/3725783.3764388,未收录（不在第七版目录内）,,未匹配到目录条目,L1,数据中心/生产网络,LLM/知识辅助网络诊断,,Empirical reality check on automating failure analysis with LLMs; documents where the automation breaks down in practice.,,Alessandro Cornacchia; Iliyas Alabdulaal; Ibraheem Saghier; Albaraa Mirdad; Omar Fayoumi; Marco Canini,https://doi.org/10.1145/3725783.3764388,,,Crossref DOI 记录,已核实,doi,仅元数据（本轮未取得摘要，未阅读正文）,2026-09-15,agent:llmnet,C0161,DOI 可解析（Crossref 返回该记录）；全文可读性未逐篇验证,
RW0013,Flow-of-Action: SOP Enhanced LLM-Based Multi-Agent System for Root Cause Analysis,,Companion Proceedings of the ACM on Web Conference 2025,会议论文,2025,10.1145/3701716.3715225,不适用（Companion/Workshop 等非正式论文轨道）,CCF 第七版（2026-03-31）,轨道为 workshop/companion —— 不继承主会等级，CCF 目录不计入，故不继承主会 A,L1,数据中心/生产网络,LLM/知识辅助网络诊断,,"Encodes standard operating procedures into a multi-agent RCA system, raising localization accuracy from ReAct 35.5 percent to 64.0 percent; centerpiece for retrieval over SOPs and runbooks.",,Changhua Pei; Zexin Wang; Fengrui Liu; Zeyan Li; Yang Liu; Xiao He; Rong Kang; Tieying Zhang; Jianjun Chen; Jianhui Li; Gaogang Xie; Dan Pei,https://doi.org/10.1145/3701716.3715225,,,Crossref DOI 记录,已核实,doi,仅元数据（本轮未取得摘要，未阅读正文）,2026-09-15,agent:llmnet,C0147,DOI 可解析（Crossref 返回该记录）；全文可读性未逐篇验证,
RW0014,FlowXpert: Expertizing Troubleshooting Workflow Orchestration with Knowledge Base and Multi-Agent Coevolution,,Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2,会议论文,2025,10.1145/3711896.3737221,A,CCF 第七版（2026-03-31）,,L1,数据中心/生产网络,LLM/知识辅助网络诊断,,Knowledge-base-driven multi-agent troubleshooting workflow that co-evolves the knowledge base with the agents; knowledge-assisted diagnosis at scale.,,Binpeng Shi; Yu Luo; Jingya Wang; Yongxin Zhao; Shenglin Zhang; Bowen Hao; Chenyu Zhao; Yongqian Sun; Zhi Zhang; Ronghua Sun; Haihua Li; Wei Song; Xiaolong Chen; Jingbo Miao; Dan Pei,https://doi.org/10.1145/3711896.3737221,,,Crossref DOI 记录,已核实,doi,仅元数据（本轮未取得摘要，未阅读正文）,2026-09-15,agent:llmnet,C0154,DOI 可解析（Crossref 返回该记录）；全文可读性未逐篇验证,
RW0015,GALA: Can Graph-Augmented Large Language Model Agentic Workflows Elevate Root Cause Analysis?,,arXiv preprint,预印本,2025,,不适用（预印本）,,预印本，不继承会议等级,L1,数据中心/生产网络,LLM/知识辅助网络诊断,,Graph-augmented LLM agentic workflow combining statistical causal inference with iterative LLM reasoning for RCA.,,"Tian, Yifang; Liu, Yaming; Chong, Zichun; Huang, Zihang; Jacobsen, Hans-Arno",https://arxiv.org/abs/2508.12472,,,arXiv abs 页元数据,已核实,arxiv,摘要已读（缓存页面 b08036538f6d1fc53d77.html（页面自述题名匹配 1.00））；全文未逐节阅读,2026-09-15,agent:llmnet,C0149,仅有页面链接；未验证可读性,"Root cause analysis (RCA) in microservice systems is challenging, requiring on-call engineers to rapidly diagnose failures across heterogeneous telemetry such as metrics, logs, and traces. Traditional RCA methods often focus on single modalities or merely rank suspect services, falling short of providing actionable diagnostic insights with remediation guidance. This paper introduces GALA, a novel multi-modal framework that combines statistical causal inference with LLM-driven iterative reasoning for enhanced RCA. Evaluated on an open-source benchmark, GALA achieves substantial improvements over state-of-the-art methods of up to 42.22% accuracy. Our novel human-guided LLM evaluation score shows GALA generates significantly more causally sound and actionable diagnostic outputs than existing methods. Through comprehensive experiments and a case study, we show that GALA bridges the gap between automated failure diagnosis and practical incident resolution by providing both accurate root cause identification and human-interpretable remediation guidance."
RW0016,Intent-Driven Network Management with Multi-Agent LLMs: The Confucius Framework,,Proceedings of the ACM SIGCOMM 2025 Conference,会议论文,2025,10.1145/3718958.3750537,A,CCF 第七版（2026-03-31）,,L1,数据中心/生产网络,LLM/知识辅助网络诊断,,seed from existing repository material,,Zhaodong Wang; Samuel Lin; Guanqing Yan; Soudeh Ghorbani; Minlan Yu; Jiawei Zhou; Nathan Hu; Lopa Baruah; Sam Peters; Srikanth Kamath; Jerry Yang; Ying Zhang,https://doi.org/10.1145/3718958.3750537,,,Crossref query.title 检索,已核实,query.title,仅元数据（本轮未取得摘要，未阅读正文）,2026-09-15,seed:docs-papers-cache,C0312,DOI 可解析（Crossref 返回该记录）；全文可读性未逐篇验证,
RW0017,"Large Language Models for Networking: Workflow, Advances, and Challenges",,IEEE Network,期刊论文,2025,10.1109/mnet.2024.3510936,未收录（不在第七版目录内）,,未匹配到目录条目,L1,数据中心/生产网络,LLM/知识辅助网络诊断,,Survey of the LLM-for-networking workflow and open challenges; useful for positioning a network-specific diagnosis contribution.,,Chang Liu; Xiaohui Xie; Xinggong Zhang; Yong Cui,https://doi.org/10.1109/mnet.2024.3510936,,,Crossref query.title 检索,已核实,query.title,仅元数据（本轮未取得摘要，未阅读正文）,2026-09-15,agent:llmnet,C0137,DOI 可解析（Crossref 返回该记录）；全文可读性未逐篇验证,
RW0018,LogEval: A comprehensive benchmark suite for LLMs in log analysis,,Empirical Software Engineering,期刊论文,2025,10.1007/s10664-025-10701-6,B,CCF 第七版（2026-03-31）,,L1,数据中心/生产网络,LLM/知识辅助网络诊断,,"Benchmark suite for LLMs on log parsing, anomaly detection and diagnosis; the telemetry-derived-input evaluation counterpart.",,Tianyu Cui; Shiyu Ma; Ziang Chen; Tong Xiao; Chenyu Zhao; Shimin Tao; Yilun Liu; Shenglin Zhang; Duoming Lin; Changchang Liu; Yuzhe Cai; Weibin Meng; Yongqian Sun; Dan Pei,https://doi.org/10.1007/s10664-025-10701-6,,,Crossref DOI 记录,已核实,doi,仅元数据（本轮未取得摘要，未阅读正文）,2026-09-15,agent:llmnet,C0159,DOI 可解析（Crossref 返回该记录）；全文可读性未逐篇验证,
RW0019,Multi Source Alarm Root Cause Localization and Self Generated Work Order Method Based on Big Language Model and Dynamic Knowledge Graph,,"2025 IEEE 7th Advanced Information Management, Communicates, Electronic and Automation Control Conference (IMCEC)",会议论文,2025,10.1109/imcec66174.2025.11332057,未收录（不在第七版目录内）,,未匹配到目录条目,L1,数据中心/生产网络,LLM/知识辅助网络诊断,,Combines a dynamic knowledge graph with an LLM over multi-source alarms for root cause localization; knowledge-graph-assisted alarm diagnosis.,,Liu LeYi; Ning YongQian; Sun ZhenDong; Liu Yan,https://doi.org/10.1109/imcec66174.2025.11332057,,,Crossref DOI 记录,已核实,doi,仅元数据（本轮未取得摘要，未阅读正文）,2026-09-15,agent:llmnet,C0133,DOI 可解析（Crossref 返回该记录）；全文可读性未逐篇验证,
RW0020,OFCnetLLM: Large Language Model for Network Monitoring and Alertness,,arXiv preprint,预印本,2025,,不适用（预印本）,,预印本，不继承会议等级,L1,数据中心/生产网络,LLM/知识辅助网络诊断,,"Multi-agent LLM for network monitoring that automates root-cause and incident analysis, demonstrated on a conference production network.",,"Yoon, Hong-Jun; Kiran, Mariam; Ebling, Danial; Breen, Joe",https://arxiv.org/abs/2507.22711,,,arXiv abs 页元数据,已核实,arxiv,摘要已读（缓存页面 71de653f510248a72062.html（页面自述题名匹配 1.00））；全文未逐节阅读,2026-09-15,agent:llmnet,C0135,仅有页面链接；未验证可读性,"The rapid evolution of network infrastructure is bringing new challenges and opportunities for efficient network management, optimization, and security. With very large monitoring databases becoming expensive to explore, the use of AI and Generative AI can help reduce costs of managing these datasets. This paper explores the use of Large Language Models (LLMs) to revolutionize network monitoring management by addressing the limitations of query finding and pattern analysis. We leverage LLMs to enhance anomaly detection, automate root-cause analysis, and automate incident analysis to build a well-monitored network management team using AI. Through a real-world example of developing our own OFCNetLLM, based on the open-source LLM model, we demonstrate practical applications of OFCnetLLM in the OFC conference network. Our model is developed as a multi-agent approach and is still evolving, and we present early results here."
RW0021,OpsEval: A Comprehensive Benchmark Suite for Evaluating Large Language Models’ Capability in IT Operations Domain,,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,会议论文,2025,10.1145/3696630.3728572,B,CCF 第七版（2026-03-31）,,L1,数据中心/生产网络,LLM/知识辅助网络诊断,,Broad IT-operations LLM capability benchmark; situates operational-diagnosis evaluation in a wider ops-task taxonomy.,,Yuhe Liu; Changhua Pei; Longlong Xu; Bohan Chen; Mingze Sun; Zhirui Zhang; Yongqian Sun; Shenglin Zhang; Kun Wang; Haiming Zhang; Jianhui Li; Gaogang Xie; Xidao Wen; Xiaohui Nie; Minghua Ma; Dan Pei,https://doi.org/10.1145/3696630.3728572,,,Crossref DOI 记录,已核实,doi,仅元数据（本轮未取得摘要，未阅读正文）,2026-09-15,agent:llmnet,C0158,DOI 可解析（Crossref 返回该记录）；全文可读性未逐篇验证,
RW0022,TAMO:Fine-Grained Root Cause Analysis via Tool-Assisted LLM Agent With Multi-Modality Observation Data in Cloud-Native Systems,,IEEE Transactions on Services Computing,期刊论文,2025,10.1109/tsc.2025.3629066,A,CCF 第七版（2026-03-31）,,L1,数据中心/生产网络,LLM/知识辅助网络诊断,,"Tool-assisted LLM agent over multimodal observation data (logs, metrics, traces) for fine-grained RCA; direct precedent for tool-augmented agents over telemetry.",,Xiao Zhang; Qi Wang; Mingyi Li; Yuan Yuan; Mengbai Xiao; Fuzhen Zhuang; Dongxiao Yu,https://doi.org/10.1109/tsc.2025.3629066,,,Crossref DOI 记录,已核实,doi,仅元数据（本轮未取得摘要，未阅读正文）,2026-09-15,agent:llmnet,C0148,DOI 可解析（Crossref 返回该记录）；全文可读性未逐篇验证,
RW0023,TN-AutoRCA: Benchmark Construction and Agentic Framework for Self-Improving Alarm-Based Root Cause Analysis in Telecommunication Networks,,arXiv preprint,预印本,2025,,不适用（预印本）,,预印本，不继承会议等级,L1,数据中心/生产网络,LLM/知识辅助网络诊断,,"Alarm-based root cause analysis in telecom networks via graph-based reasoning over alarms, plus a benchmark built because realistic alarm-RCA benchmarks are scarce.",,"Wu, Keyu; Yu, Qianjin; Mei, Manlin; Liu, Ruiting; Wang, Jun; Zhang, Kailai; Bao, Yelun",https://arxiv.org/abs/2507.18190,,,arXiv abs 页元数据,已核实,arxiv,摘要已读（缓存页面 61c9674dc0a53c51b886.html（页面自述题名匹配 1.00））；全文未逐节阅读,2026-09-15,agent:llmnet,C0132,仅有页面链接；未验证可读性,"Root Cause Analysis (RCA) in telecommunication networks is a critical task, yet it presents a formidable challenge for Artificial Intelligence (AI) due to its complex, graph-based reasoning requirements and the scarcity of realistic benchmarks."
RW0024,Towards a Playground to Democratize Experimentation and Benchmarking of AI Agents for Network Troubleshooting,,Proceedings of the 1st Workshop on Next-Generation Network Observability,会议论文,2025,10.1145/3748496.3748990,未收录（不在第七版目录内）,,workshop/非目录来源,L1,数据中心/生产网络,LLM/知识辅助网络诊断,,"Argues for standardized, emulation-grounded, reproducible benchmarking of network-troubleshooting agents; motivation for a rigorous evaluation protocol.",,Zhihao Wang; Alessandro Cornacchia; Franco Galante; Carlo Centofanti; Alessio Sacco; Dingde Jiang,https://doi.org/10.1145/3748496.3748990,,,Crossref DOI 记录,已核实,doi,仅元数据（本轮未取得摘要，未阅读正文）,2026-09-15,agent:llmnet,C0144,DOI 可解析（Crossref 返回该记录）；全文可读性未逐篇验证,
RW0025,A Survey on Applications of Large Language Model-Driven Digital Twins for Intelligent Network Optimization,,IEEE Communications Surveys &amp; Tutorials,期刊论文,2026,10.1109/comst.2025.3568637,未收录（不在第七版目录内）,,未匹配到目录条目,L1,数据中心/生产网络,LLM/知识辅助网络诊断,,"Survey linking LLMs to network digital twins, including diagnosis and optimization applications.",,Zhiqi Guo; Fengxiao Tang; Linfeng Luo; Ming Zhao; Nei Kato,https://doi.org/10.1109/comst.2025.3568637,,,Crossref DOI 记录,已核实,doi,仅元数据（本轮未取得摘要，未阅读正文）,2026-09-15,agent:llmnet,C0138,DOI 可解析（Crossref 返回该记录）；全文可读性未逐篇验证,
RW0026,Agent-Native Telemetry: Verifiable State-Delta Evidence for Autonomous Operations,,arXiv.org,页面元数据,2026,,不适用（预印本）,,预印本，不继承会议等级,L1,数据中心/生产网络,LLM/知识辅助网络诊断,,Proposes verifiable state-delta evidence emitted by telemetry for autonomous operations; relevant to grounding agent diagnosis in auditable evidence.,,"He, Jun; Yu, Deying",https://arxiv.org/abs/2608.16178,,,出版方页面 citation_* 元数据,已核实,page,摘要已读（缓存页面 326f31e1ac26d73429d0.html（页面自述题名匹配 1.00））；全文未逐节阅读,2026-09-15,agent:llmnet,C0167,仅有页面链接；未验证可读性,"Operational telemetry is predominantly engineered for human reading: systems repeatedly serialize verbose prose, static keys, and redundant context across billions of log lines. As autonomous AI agents become primary operational consumers, feeding them traditional logs wastes scarce context capacity parsing lexical syntax rather than reasoning over system state changes -- all while lacking cryptographic guarantees of provenance or collection completeness. This paper introduces agent-native telemetry, an operational evidence architecture for autonomous machine operators founded on verifiable state deltas rather than human prose. We present the Agent Telemetry Protocol (ATP) and the State-Delta Evidence Ledger, an implementation that structures operational facts into four core evidence primitives (Transitions, Observations, Relations, and State Checkpoints) governed by content-addressed schemas, while isolating uncurated text as digest-verified opaque references. Producers sign and hash-chain batches for atomic collector append. Verified records feed two parallel agent access paths: a stateless protocol decoder emitting compact positional rows, and a stateful semantic gateway serving bounded graph capsules. We prove an information-preservation lower bound and formalize a ledger-relative verified negative theorem for provable event non-occurrence. On distributed microservice benchmarks (AIOpsLab and OpenTelemetry Astronomy Shop), ATP reduces raw wire payload and modeled cloud query scan costs by 96.4% relative to OpenTelemetry JSON, reduces LLM context tokens by 88.8% and query operations by 66.2%, detects all 500 tested adversarial storage mutations, and yields zero successful prompt injections across 50 adversarial trials per ATP configuration."
RW0027,An LLM-Based Autonomous Agent for Network Diagnosis and Recovery on a Digital Twin,,2026 35th International Conference on Computer Communications and Networks (ICCCN),会议论文,2026,10.1109/icccn69946.2026.11662660,未收录（不在第七版目录内）,,未匹配到目录条目,L1,数据中心/生产网络,LLM/知识辅助网络诊断,,LLM agent performing network diagnosis and recovery against a digital-twin network model; telemetry plus topology grounding for agentic diagnosis.,,Hiroki Ikeuchi; Yousuke Takahashi; Hitoshi Shimizu; Hiroaki Matsubayashi,https://doi.org/10.1109/icccn69946.2026.11662660,,,Crossref DOI 记录,已核实,doi,仅元数据（本轮未取得摘要，未阅读正文）,2026-09-15,agent:llmnet,C0134,DOI 可解析（Crossref 返回该记录）；全文可读性未逐篇验证,
RW0028,Benchmarking LLM-Driven Network Configuration Repair,,,,2026,,待核实,,提供方未返回 venue 字段，无法定级,L1,数据中心/生产网络,LLM/知识辅助网络诊断,,231 synthesized misconfiguration problems over topologies of 20-754 nodes; finds LLMs often introduce regressions and degrade at scale. Strong measured-limitation evidence for network reasoning.,,"Protogeros, Ioannis; Asadli, Rufat; Hoffman, Benjamin; Vanbever, Laurent",https://arxiv.org/abs/2604.22513,,,出版方页面 citation_* 元数据,已核实,page-curl,摘要已读（缓存页面 1beb8c50be1336b5e62f.curl（页面自述题名匹配 1.00））；全文未逐节阅读,2026-09-15,agent:llmnet,C0141,仅有页面链接；未验证可读性,"There is a rapidly growing interest in using Large Language Models (LLMs) to automate complex network operations, but their reliable adoption requires rigorous assessment of their effectiveness and safety. Existing benchmarks do not address whether LLMs can successfully resolve errors in large-scale, interdependent network configurations without introducing new disruptions. Developing such a benchmark is challenging: scenarios must be diverse and increasingly complex, yet their evaluation must be straightforward and meaningful. In this paper, we present Cornetto, the first benchmark to evaluate LLM-driven network configuration repair functionally and at scale. Cornetto features a generation pipeline that synthesizes representative and plausible misconfiguration scenarios, coupled with an evaluation framework that uses formal verification to assess functional correctness of proposed fixes against ground-truth specifications. Using this pipeline, we synthesize a dataset of 231 problems for fixing configurations across varying network topologies (20--754 nodes) and diverse protocols. We evaluate 9 state-of-the-art LLMs and find that while they show promise, they often introduce regressions and their performance degrades at scale. Our results indicate that reliable LLM-powered network automation requires integrating LLMs into iterative workflows guided by formal verification."
